Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal Rank,DCG@20,nDCG@20,Average Precision,Interpolated AP
Query 1,0.03581800580832527,1.0,0.0691588785046729,1.0,0.8,0.7027027027027027,1.0,5.612721315323926,0.7972311580812835,0.7190298271146464,0.7334235518483557
Query 2,0.015488867376573089,1.0,0.030505243088655862,0.6,0.6,0.375,1.0,3.220443380326692,0.5274228873721702,0.4365370226441168,0.4454095835089307
Query 3,0.021297192642787996,1.0,0.04170616113744075,0.8,0.8,0.5,0.5,3.9659653762745806,0.563325879231754,0.4801553388131312,0.5199071711247552
Query 4,0.022265246853823813,1.0,0.04356060606060606,0.2,0.4,0.391304347826087,0.2,2.1544294236195243,0.3060152407188347,0.323862893789868,0.3483082134834529
Query 5,0.02516940948693127,1.0,0.04910292728989613,1.0,0.9,0.8076923076923077,1.0,6.469000231832211,0.9188570493195856,0.8141762945464137,0.7997529333206143
Query 6,0.012584704743465635,1.0,0.024856596558317397,1.0,0.8,0.7692307692307693,1.0,4.443942228047733,0.8298073997007243,0.7988437388437389,0.7868796068796069
Query 7,0.01452081316553727,1.0,0.028625954198473285,1.0,0.8,0.5333333333333333,1.0,3.9091960090910316,0.6669448752088623,0.6346874301636206,0.6351109584875818
Query 8,0.010648596321393998,1.0,0.021072796934865898,0.6,0.4,0.36363636363636365,1.0,2.665177799405504,0.5526545437608099,0.4722859526389939,0.48062741354962485
Query 9,0.027105517909002903,1.0,0.05278039585296889,0.8,0.5,0.39285714285714285,1.0,3.72052358875965,0.5284633180053776,0.37656541957167416,0.39129624171658545
Query 10,0.023233301064859633,1.0,0.04541154210028383,0.4,0.4,0.25,1.0,2.5652513525024023,0.36436840377973423,0.2124101215085885,0.22927246352123906
Query 11,0.017424975798644726,1.0,0.03425309229305424,0.6,0.7,0.5555555555555556,1.0,3.935624193893191,0.5980083087473005,0.5604017867655758,0.5793335679288591
Query 12,0.008712487899322363,1.0,0.01727447216890595,0.8,0.6,0.5555555555555556,1.0,3.398463487598548,0.7987937176076688,0.6573307705914364,0.6333820829810409
Query 13,0.02032913843175218,1.0,0.03984819734345352,1.0,1.0,0.8571428571428571,1.0,6.55045591535538,0.9304270178356032,0.8828426536422488,0.8538576028960645
Query 14,0.015488867376573089,1.0,0.030505243088655862,0.6,0.6,0.5,1.0,3.836921592699519,0.6283856059711002,0.5286577854113012,0.5444214559468793
Query 15,0.028073572120038724,1.0,0.054613935969868174,1.0,0.8,0.5172413793103449,1.0,5.169343470159877,0.7342537513814965,0.5154083597920757,0.5081918448350969
Query 16,0.012584704743465635,1.0,0.024856596558317397,0.6,0.7,0.6153846153846154,1.0,3.781165814268699,0.7060486413105275,0.5868988224251381,0.6088788316061042
Query 17,0.02032913843175218,1.0,0.03984819734345352,0.4,0.3,0.14285714285714285,1.0,1.7430599943425638,0.24758431068026024,0.14715539520622228,0.188929548874264
Query 18,0.01452081316553727,1.0,0.028625954198473285,0.6,0.5,0.5333333333333333,0.5,3.3220977891774335,0.5667805068566429,0.4333319759108466,0.4500865548151012
Query 19,0.026137463697967087,1.0,0.0509433962264151,1.0,0.8,0.5185185185185185,1.0,4.854389222376588,0.6895176375435694,0.5403396316515854,0.5380424692408243
Query 20,0.0377541142303969,1.0,0.07276119402985073,0.2,0.1,0.20512820512820512,1.0,1.4898124665681314,0.21161302179805414,0.20075961750241694,0.26049121094964417
Query 21,0.026137463697967087,1.0,0.0509433962264151,0.4,0.3,0.25925925925925924,1.0,2.3923153707045244,0.3398045700710782,0.22625329490004994,0.2439967187854559
Query 22,0.02420135527589545,1.0,0.04725897920604914,0.4,0.3,0.32,1.0,2.5246046148738195,0.3585949395559915,0.24602176350181715,0.2902348981714437
Query 23,0.0377541142303969,1.0,0.07276119402985073,1.0,0.9,0.48717948717948717,1.0,5.982781397423063,0.8497945068094794,0.4481535959855891,0.4426570980737592
Query 24,0.021297192642787996,1.0,0.04170616113744075,1.0,0.9,0.7272727272727273,1.0,5.938290703437543,0.8434750468724473,0.8246980170724189,0.8253631889995527
Query 25,0.023233301064859633,1.0,0.04541154210028383,1.0,0.8,0.8333333333333334,1.0,6.179122967355576,0.8776828711844281,0.8233460958164261,0.8226606390242754
Query 26,0.027105517909002903,1.0,0.05278039585296889,0.0,0.1,0.21428571428571427,0.14285714285714285,1.0773610815302859,0.1530284107203217,0.17486560900064838,0.19160341435883232
Query 27,0.017424975798644726,1.0,0.03425309229305424,1.0,0.7,0.5555555555555556,1.0,4.304562586666528,0.6540675800152924,0.5856347800455703,0.575964062552181
Query 28,0.0377541142303969,1.0,0.07276119402985073,1.0,0.8,0.48717948717948717,1.0,4.675825556245175,0.6641544473291324,0.5214239211812401,0.525590446919969
Query 29,0.03581800580832527,1.0,0.0691588785046729,1.0,0.9,0.6216216216216216,1.0,6.2788827647904455,0.8918527567659227,0.686891580806882,0.6772833820102131
Query 30,0.013552758954501452,1.0,0.02674307545367717,0.6,0.5,0.42857142857142855,1.0,2.9663625465737287,0.5286363539783495,0.3562994980407933,0.3894540711087473
