Query_ID,Precision,Recall,F1,Precision@5,Precision@10,R-Precision,Reciprocal Rank,DCG@20,nDCG@20,Average Precision,Interpolated AP
Query 1,0.03581800580832527,1.0,0.0691588785046729,0.6,0.8,0.8648648648648649,0.5,5.609591823850119,0.7967866449883109,0.8123271369862946,0.8657892831805877
Query 2,0.015488867376573089,1.0,0.030505243088655862,0.4,0.5,0.4375,1.0,2.929574796868261,0.47978635723763446,0.3690157930895292,0.3905630983067146
Query 3,0.021297192642787996,1.0,0.04170616113744075,0.8,0.9,0.5,0.5,4.041467741212618,0.5740502381399878,0.5179300240429882,0.5623650701299403
Query 4,0.022265246853823813,1.0,0.04356060606060606,0.0,0.3,0.30434782608695654,0.14285714285714285,1.7122738695895312,0.24321144830017277,0.23626179101735112,0.27518220145169053
Query 5,0.02516940948693127,1.0,0.04910292728989613,1.0,0.9,0.6923076923076923,1.0,5.969831804208668,0.847955146076067,0.7593906738117664,0.744650830036693
Query 6,0.012584704743465635,1.0,0.024856596558317397,0.8,0.6,0.6153846153846154,1.0,4.417790681440224,0.824924179853363,0.7094369839562147,0.7220328282828283
Query 7,0.01452081316553727,1.0,0.028625954198473285,1.0,0.8,0.5333333333333333,1.0,3.894761127969284,0.6644821514247363,0.5978675313421076,0.6138196549213499
Query 8,0.010648596321393998,1.0,0.021072796934865898,0.6,0.5,0.5454545454545454,1.0,3.194325630106961,0.6623792882125936,0.5290746506394609,0.5332068820444196
Query 9,0.027105517909002903,1.0,0.05278039585296889,0.2,0.5,0.5,1.0,3.5065510533728657,0.4980706505985246,0.4045200266254355,0.44633533469842307
Query 10,0.023233301064859633,1.0,0.04541154210028383,0.6,0.3,0.25,1.0,2.6458184501170035,0.37581215751808095,0.22102234751664782,0.26697489267103663
Query 11,0.017424975798644726,1.0,0.03425309229305424,0.4,0.4,0.4444444444444444,1.0,3.408076468908377,0.5178487438957646,0.43574819797019076,0.46647212436686125
Query 12,0.008712487899322363,1.0,0.01727447216890595,0.6,0.5,0.5555555555555556,1.0,2.879816138500267,0.676887966486497,0.4912377108202157,0.49445745831973914
Query 13,0.02032913843175218,1.0,0.03984819734345352,1.0,0.9,0.8095238095238095,1.0,5.990882396794735,0.850945173081304,0.8314529701107464,0.8261013785489311
Query 14,0.015488867376573089,1.0,0.030505243088655862,0.8,0.7,0.625,1.0,4.453915814414038,0.7294328331624086,0.6556690605323917,0.6677640541276906
Query 15,0.028073572120038724,1.0,0.054613935969868174,0.6,0.6,0.5172413793103449,0.3333333333333333,4.063537630710117,0.577185046118923,0.44160447448164497,0.4802883670393541
Query 16,0.012584704743465635,1.0,0.024856596558317397,0.6,0.5,0.46153846153846156,1.0,3.2693015878812144,0.6104693783719503,0.4714090853457503,0.47886588370287875
Query 17,0.02032913843175218,1.0,0.03984819734345352,0.4,0.4,0.38095238095238093,0.3333333333333333,2.644471706155716,0.37562086595244326,0.2580019452689727,0.28353573775947233
Query 18,0.01452081316553727,1.0,0.028625954198473285,0.4,0.5,0.5333333333333333,0.5,3.2653949717830884,0.5571064835067993,0.4193868943842801,0.45134196607051247
Query 19,0.026137463697967087,1.0,0.0509433962264151,0.6,0.8,0.5925925925925926,1.0,4.699967131182669,0.667583517590073,0.5343344194474143,0.5506071051354628
Query 20,0.0377541142303969,1.0,0.07276119402985073,0.0,0.1,0.20512820512820512,0.125,0.5781144118229223,0.08211539396811637,0.1776718956773273,0.19523892979772686
Query 21,0.026137463697967087,1.0,0.0509433962264151,0.2,0.3,0.4444444444444444,0.25,2.550973956671187,0.36234044191000303,0.22091780914923428,0.2558759163367838
Query 22,0.02420135527589545,1.0,0.04725897920604914,0.4,0.3,0.32,1.0,2.5551803480125668,0.36293791790284724,0.2621770921137944,0.29886613181077615
Query 23,0.0377541142303969,1.0,0.07276119402985073,1.0,0.9,0.48717948717948717,1.0,5.671489975657592,0.8055786609242945,0.4257273890082986,0.42377420781456726
Query 24,0.021297192642787996,1.0,0.04170616113744075,0.8,0.8,0.7727272727272727,1.0,5.784076326068939,0.821570430598931,0.7853555484190999,0.7911384631985805
Query 25,0.023233301064859633,1.0,0.04541154210028383,0.8,0.9,0.7916666666666666,1.0,5.8579754562630395,0.8320670659805939,0.7817148589296359,0.7952744225471499
Query 26,0.027105517909002903,1.0,0.05278039585296889,0.8,0.8,0.39285714285714285,1.0,4.621806030121816,0.6564815116975791,0.48025730662155997,0.48437487215066355
Query 27,0.017424975798644726,1.0,0.03425309229305424,0.8,0.6,0.6111111111111112,1.0,4.311097891382292,0.6550606033141853,0.5584592009029992,0.5792738311315386
Query 28,0.0377541142303969,1.0,0.07276119402985073,1.0,0.8,0.5128205128205128,1.0,4.880121898945288,0.6931727079432677,0.5406581503411207,0.5571958032317708
Query 29,0.03581800580832527,1.0,0.0691588785046729,1.0,0.9,0.7297297297297297,1.0,6.240147922063781,0.8863508581698237,0.7473550999181438,0.7385413117086411
Query 30,0.013552758954501452,1.0,0.02674307545367717,0.8,0.5,0.5,0.5,2.8395672764483604,0.5060401310796363,0.35431287121639327,0.41123633451446123
